asset_id,name,location,asset_type,layer,authority,owner,consumer_status,planned_consumer,consumed_by,depends_on,produces,conflicts_with,associated_files,metadata,merge_key,canonical_pointer,schema_ref,schema_status,validation_mode,reloadable,watch_path,contained,containment_mechanism,kernel_mode_relevance,platform_scope,confidentiality,has_secrets,tracked_in_git,env_vars_used,env_example_covered,reproducible,versioning,lineage_required,doc_tier,runbook_verified,truth_link,indexed,traced,errors,issues,next_actions,notes
A0001,sys-core-rustfmt.toml,sys/core/rustfmt.toml,tooling,mutable,derived,sys-core,none,,,,,,sys/core/Cargo.toml,edition=2021;max_width=100,,,,,none,no,,NA,NA,NA,all,internal,unknown,yes,,,yes,yes,none,NA,NA,sys/core/rustfmt.toml,no,no,,,Ensure referenced in contributor docs; keep in sync with root rustfmt.toml if any,
A0002,sys-core-Cargo.toml,sys/core/Cargo.toml,tooling,mutable,authoritative,sys-core,none,,,,,,sys/core/crates/*/Cargo.toml; sys/core/Cargo.lock,workspace=yes;version=0.1.0,,,,,hard_fail,no,,NA,NA,NA,all,internal,no,yes,,,yes,yes,semver,NA,NA,sys/core/Cargo.toml,no,no,,,Document as authoritative workspace manifest,
A0003,sys-core-Cargo.lock,sys/core/Cargo.lock,generated,cache,generated,sys-core,none,,,,,,sys/core/Cargo.toml,lockfile_version=4,,,,,none,no,,NA,NA,NA,all,internal,no,yes,,,yes,yes,semver,NA,NA,sys/core/Cargo.lock,no,no,,,Do not edit manually; update via cargo,
A0004,docs-_config.yml,docs/_config.yml,tooling,mutable,authoritative,docs,none,,,,,,docs/index.md,jekyll_theme=jekyll-theme-minimal,,,,,none,no,,NA,NA,NA,all,public,no,yes,,,yes,yes,none,Draft,NA,docs/_config.yml,no,no,,,Document docs build pipeline,
A0005,docs-index.md,docs/index.md,doc,mutable,authoritative,docs,none,,,,,,docs/_config.yml,jekyll_frontmatter=yes,,,,,none,no,,NA,NA,NA,all,public,no,yes,,,yes,yes,none,Draft,NA,docs/index.md,no,no,,,Keep links accurate,
A0006,containers-capsule-noa-core.yaml,containers/capsules/noa-core.yaml,config,mutable,authoritative,containers,none,,,,,,containers/oci/registry.yaml,capsule_spec=stub,,,,,warn,no,,NA,NA,container,all,internal,no,yes,,,no,yes,none,Draft,NA,containers/capsules/noa-core.yaml,no,no,,,Define schema; validate,
A0007,containers-capsule-noa-digest.yaml,containers/capsules/noa-digest.yaml,config,mutable,authoritative,containers,none,,,,,,containers/oci/registry.yaml,capsule_spec=stub,,,,,warn,no,,NA,NA,container,all,internal,no,yes,,,no,yes,none,Draft,NA,containers/capsules/noa-digest.yaml,no,no,,,Define schema; validate,
A0008,containers-oci-registry.yaml,containers/oci/registry.yaml,config,mutable,authoritative,containers,none,,,,,,,version=1.0,,,,,warn,no,,yes,wrapper,container,all,internal,no,yes,NOA_ROOT,yes,yes,semver,yes,Draft,NA,containers/oci/registry.yaml,no,no,,,Add schema; decide runtime consumer,
A0009,.vscode-launch.json,.vscode/launch.json,tooling,mutable,derived,tooling,none,,,,,,,version=0.2.0,,,,,none,no,,NA,NA,NA,all,internal,no,yes,,,no,yes,none,NA,NA,.vscode/launch.json,no,no,,,No runtime consumption,
A0010,.vscode-mcp.json,.vscode/mcp.json,tooling,mutable,derived,tooling,none,,,,,,config/schemas/mcp-servers.json,mcp_servers=yes,,,/servers,config/schemas/mcp-servers.json,exists,warn,no,NA,NA,NA,NA,all,internal,unknown,yes,,,no,yes,none,NA,NA,.vscode/mcp.json,no,no,,,"Schema exists but not validated; align with schema,"
A0011,.vscode-settings.json,.vscode/settings.json,tooling,mutable,derived,tooling,none,,,,,,,vscode_settings=yes,,,,,none,no,,NA,NA,NA,all,internal,unknown,yes,,,no,yes,none,NA,NA,.vscode/settings.json,no,no,,,No runtime consumption,
A0012,.vscode-tasks.json,.vscode/tasks.json,tooling,mutable,derived,tooling,none,,,,,,,version=2.0.0,,,,,none,no,,NA,NA,NA,all,internal,no,yes,,,no,yes,none,NA,NA,.vscode/tasks.json,no,no,,,No runtime consumption,
A0013,.github-flexnetos-automation.yml,.github/org-config/flexnetos-automation.yml,config,mutable,authoritative,tooling,none,,,,,,,version=1.0.0,,,,,warn,no,,NA,NA,NA,all,public,unknown,yes,,,no,yes,none,Draft,NA,.github/org-config/flexnetos-automation.yml,no,no,,,Validate yaml syntax; document ownership,
A0014,.github-dependabot.yml,.github/dependabot.yml,config,mutable,authoritative,tooling,none,,,,,,,version=2,,,,,hard_fail,no,,NA,NA,NA,all,public,no,yes,,,yes,yes,none,Draft,NA,.github/dependabot.yml,no,no,package-ecosystem empty,Invalid placeholder config,Fix dependabot.yml or disable,
A0015,.git-config,.git/config,tooling,mutable,external,tooling,none,,,,,,,git_config=yes,,,,,none,no,,NA,NA,NA,all,internal,unknown,no,,,NA,NA,none,NA,NA,.git/config,no,no,,,Not tracked for policy enforcement,
A0016,.cursor-worktrees.json,.cursor/worktrees.json,tooling,mutable,derived,tooling,none,,,,,,,cursor_workspace=yes,,,,,none,no,,NA,NA,NA,all,internal,no,yes,,,no,yes,none,NA,NA,.cursor/worktrees.json,no,no,,,Not runtime config,
A0017,sys-kernel-params-current.json,sys/kernel/params/current.json,runtime_state,state,authoritative,sys-kernel,planned,sys/kernel/** drivers,sys/kernel/** scripts,,,,config/kernel-selection-policy.json,kernel_mode_state=yes,,,/kernel_mode,,missing,warn,yes,NA,yes,env redirect,native;vm;container;sandbox,all,internal,unknown,yes,NOA_ROOT;NOA_KERNEL_MODE,yes,yes,content-hash,yes,Draft,NA,sys/kernel/params/current.json,no,no,,,"Define schema; track ownership; ensure not treated as config,"
